time,EG,EU,GU
2020-08-20 06:03:00,0.9047,1.18361,1.3082
2020-08-20 06:04:00,0.90486,1.18356,1.3079
2020-08-20 06:05:00,0.9047200000000001,1.18369,1.30828
2020-08-20 06:06:00,0.9047700000000001,1.18392,1.30849
2020-08-20 06:07:00,0.90464,1.18403,1.30872
2020-08-20 06:08:00,0.9047200000000001,1.18416,1.30879
2020-08-20 06:09:00,0.90474,1.18411,1.3087
2020-08-20 06:10:00,0.9046,1.1842,1.30899
2020-08-20 06:11:00,0.90465,1.18424,1.30895
2020-08-20 06:12:00,0.90475,1.18403,1.30861
2020-08-20 06:13:00,0.90456,1.18353,1.30832
2020-08-20 06:14:00,0.9046,1.18353,1.30825
2020-08-20 06:15:00,0.9046299999999999,1.18349,1.30822
2020-08-20 06:16:00,0.90486,1.18356,1.30793
2020-08-20 06:17:00,0.905,1.18389,1.30811
2020-08-20 06:18:00,0.90491,1.18385,1.30816
2020-08-20 06:19:00,0.9050299999999999,1.18383,1.30797
2020-08-20 06:20:00,0.9050600000000001,1.18361,1.30773
2020-08-20 06:21:00,0.9050799999999999,1.18362,1.30764
2020-08-20 06:22:00,0.90515,1.18366,1.30761
2020-08-20 06:23:00,0.90512,1.18368,1.30773
2020-08-20 06:24:00,0.90502,1.18381,1.308
2020-08-20 06:25:00,0.9051,1.18421,1.30829
2020-08-20 06:26:00,0.9051600000000001,1.18431,1.30831
2020-08-20 06:27:00,0.9051299999999999,1.18437,1.30841
2020-08-20 06:28:00,0.90522,1.18438,1.30829
2020-08-20 06:29:00,0.90528,1.18449,1.30832
2020-08-20 06:30:00,0.9051100000000001,1.18445,1.30852
2020-08-20 06:31:00,0.90528,1.18445,1.30828
2020-08-20 06:32:00,0.9051,1.18451,1.30863
2020-08-20 06:33:00,0.90499,1.18443,1.30869
2020-08-20 06:34:00,0.9049,1.18422,1.30863
2020-08-20 06:35:00,0.9049299999999999,1.18396,1.30831
2020-08-20 06:36:00,0.9051100000000001,1.18417,1.30824
2020-08-20 06:37:00,0.9051799999999999,1.18423,1.30822
2020-08-20 06:38:00,0.90515,1.1843,1.30833
2020-08-20 06:39:00,0.90522,1.1843,1.30824
2020-08-20 06:40:00,0.9051600000000001,1.18416,1.30812
2020-08-20 06:41:00,0.90507,1.18387,1.30796
2020-08-20 06:42:00,0.90514,1.18413,1.30814
2020-08-20 06:43:00,0.90535,1.18425,1.30796
2020-08-20 06:44:00,0.9053899999999999,1.18427,1.30797
2020-08-20 06:45:00,0.90548,1.1843,1.30788
2020-08-20 06:46:00,0.9056,1.18391,1.30728
2020-08-20 06:47:00,0.90554,1.1838,1.30723
2020-08-20 06:48:00,0.9054700000000001,1.1837,1.30721
2020-08-20 06:49:00,0.90549,1.18385,1.3073
2020-08-20 06:50:00,0.90579,1.18386,1.30698
2020-08-20 06:51:00,0.9057799999999999,1.18401,1.30712
2020-08-20 06:52:00,0.9057799999999999,1.18425,1.30737
2020-08-20 06:53:00,0.9057700000000001,1.18411,1.30719
2020-08-20 06:54:00,0.9057200000000001,1.18435,1.30746
2020-08-20 06:55:00,0.90574,1.18435,1.30754
2020-08-20 06:56:00,0.9056799999999999,1.18426,1.30749
2020-08-20 06:57:00,0.90556,1.18394,1.30734
2020-08-20 06:58:00,0.9054700000000001,1.18396,1.30749
2020-08-20 06:59:00,0.90548,1.18395,1.30753
